brb,be right back
lol,laugh out loud
omw,on my way
ig,i guess
lmao,laughing my ass off
idk,i dont know
ttyl,talk to you later
bs,bullshit
fr,for real
ngl,not gonna lie
sus,suspicious
icymi,in case you missed it
pov,point of view
tmi,too much information
nvm,never mind
hmu,hit me up
tbt,throwback thrusday
ootd,outfit of the day
iso,in search of
ikr,i know right
rn,right now
br,bereal
tw,trigger warning
ooo,out of office
tldr,too long didnt read
stfu,shut the fuck up
afaik,as far as i know
lmk,let me know
rofl,rolling on the floor laughing
ftw,for the win
byob,bring your own beer
bogo,buy one get one
jk,just kidding
jw,just wondering
tgif,thank goodness its friday
tbh,to be honest
tbf,to be frank
brt,be right there
btw,by the way
gg,good game
smh,shaking my head
irl,in real life
bts,behind the scenes
fwiw,for what its worth
imo,in my opinion
wyd,what you doing
idc,i dont care
afk,away from keyboard
abt,about
iykyk,if you know you know
b4,before
nbd,no big deal
tba,to be announced
tbd,to be decided
bc,because
jic,just in case
fomo,fear of missing out
snafu,situation normal all fucked up
h8,hate
gtg,got to go
hbd,happy birthday
wysiwyg,what you see is what you get
goat,greatest of all time
eod,end of day
eow,end of week
eta,estimated time of arrival
asap,as soon as possible
aka,also known as
diy,do it yourself
lmgtfy,let me google that for you
tia,thanks in advance
fyi,for your information
nsfw,not safe for work
np,no problem
wfh,work from home
wdyt,what do you think
smp,social media platform
dm,direct message
yt,youtube
sc,snapchat
rt,retweet
ama,ask me anything
eli5,explain like im 5
grwm,get ready with me
tmw,that moment when
ily,i love you
ihy,i hate you
pda,public display of affection
ltr,long term relationship
bae,before anyone else
otp,one time password
sya,see you again
syl,see you later
